localName,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type
t029,plastoholotype,t,plastoholotype,A copy or cast of holotype material (compare Plastotype).,,,,http://www.w3.org/2004/02/skos/core#Concept
t030,plastoisotype,t,plastoisotype,A copy or cast of isotype material (compare Plastotype).,,,,http://www.w3.org/2004/02/skos/core#Concept
t031,plastolectotype,t,plastolectotype,A copy or cast of lectotype material (compare Plastotype).,,,,http://www.w3.org/2004/02/skos/core#Concept
t032,plastoneotype,t,plastoneotype,A copy or cast of neotype material (compare Plastotype).,,,,http://www.w3.org/2004/02/skos/core#Concept
t033,plastoparatype,t,plastoparatype,A copy or cast of paratype material (compare Plastotype).,,,,http://www.w3.org/2004/02/skos/core#Concept
t034,plastosyntype,t,plastosyntype,A copy or cast of syntype material (compare Plastotype).,,,,http://www.w3.org/2004/02/skos/core#Concept
t035,plastotype,t,plastotype,"A copy or cast of type material, esp. relevant for fossil types. Not  regulated by the botanical or zoological code (?). [Zoo./Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t036,secondarytype,t,secondarytype,"A referred, described, measured or figured specimen in the original  publication (including a neo/lectotypification publication) that is not a  primary type. [Zoo.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t037,supplementarytype,t,supplementarytype,"A referred, described, measured or figured specimen in a revision of a  previously described taxon. [Zoo.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t038,syntype,t,syntype,One of the series of specimens used to describe a species or infraspecific taxon when neither a single holotype nor a lectotype has been designated.  The syntypes collectively constitute the name-bearing type. [Zoo./Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t039,topotype,t,topotype,"One or more specimens collected at the same location as the type series  (type locality), regardless of whether they are part of the type series. Topotypes are not regulated by the botanical or zoological code. Also  called 'locotype'. [Zoo./Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t040,type,t,type,"a) A specimen designated or indicated any kind of type of a species or  infraspecific taxon. If possible more specific type terms (holotype,  syntype, etc.) should be applied. b) the type name of a name of higher rank  for taxa above the species rank. [General]",,,,http://www.w3.org/2004/02/skos/core#Concept
t041,typeSpecies,t,typeSpecies,For designating a type record as a reference to type information tied to a  genus,,,,http://www.w3.org/2004/02/skos/core#Concept
t042,typeGenus,t,typeGenus,For designating a type record as a reference to type information tied to a  Family,,,,http://www.w3.org/2004/02/skos/core#Concept
