subjectTaxonConceptID,mappingRelation,objectTaxonConceptID,sourceID,creator,created
_:tc25,isCongruentWith,_:tc6,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc25,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc26,isCongruentWith,_:tc16,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc26,isIncludedIn,_:tc35,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc26,isCongruentWith,_:tc41,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc26,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc26,isIncludedIn,_:tc6,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc27,isCongruentWith,_:tc17,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc27,isIncludedIn,_:tc35,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc27,isCongruentWith,_:tc42,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc27,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc27,isIncludedIn,_:tc6,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc28,includes,_:tc18,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc28,includes,_:tc19,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc28,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc28,includes,_:tc8,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc28,includes,_:tc9,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc28,includes,_:tc10,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc29,isCongruentWith,_:tc18,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc29,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc29,includes,_:tc9,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc29,includes,_:tc10,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc30,isCongruentWith,_:tc19,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc30,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc30,isCongruentWith,_:tc8,,https://orcid.org/0000-0003-2224-6821,2025-09-01
